"","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"X1",1,0.754,-0.69,-0.446,0.692,-0.605,-0.479,0.78,-0.152
"X2",0.754,1,-0.712,-0.515,0.412,-0.722,-0.419,0.542,-0.102
"X3",-0.69,-0.712,1,0.323,-0.444,0.737,0.361,-0.546,0.172
"X4",-0.446,-0.515,0.323,1,-0.334,0.527,0.461,-0.393,-0.019
"X5",0.692,0.412,-0.444,-0.334,1,-0.383,-0.505,0.737,-0.148
"X6",-0.605,-0.722,0.737,0.527,-0.383,1,0.251,-0.49,0.25
"X7",-0.479,-0.419,0.361,0.461,-0.505,0.251,1,-0.434,-0.079
"X8",0.78,0.542,-0.546,-0.393,0.737,-0.49,-0.434,1,-0.163
"X9",-0.152,-0.102,0.172,-0.019,-0.148,0.25,-0.079,-0.163,1
