年俸,打数,安打,打点,本塁打,四球,死球,三振,打率
6300,549,149,61,8,27,3,82,0.271
16000,369,93,37,7,22,4,93,0.252
6900,343,100,16,0,19,4,61,0.292
2200,196,47,27,5,14,5,46,0.24
5500,218,56,28,5,17,2,38,0.257
7200,514,132,51,6,48,3,58,0.257
4700,259,71,23,3,28,1,47,0.274
1600,263,63,33,6,27,7,49,0.24
2500,88,16,8,2,13,0,24,0.182
8200,285,67,28,6,37,1,49,0.235
